conversation_id,user_id,anon_user_id,account_id,start_ts,end_ts,channel,session_status,abandonment_flag,abandonment_ts,abandonment_turn,abandonment_flow_node,dropoff_reason_code,total_turns,user_message_count,bot_message_count,avg_bot_latency_ms,fallback_count,initial_intent,top_intent,top_intent_conf,flow_id,flow_version,widget_version,widget_load_ms,device_type,browser,geo_country,client_error_count,transfer_requested_ts,transfer_completed_ts,time_to_agent_sec,kb_suggestion_shown,kb_article_clicked,csat_rating,predicted_abandon_prob,ingestion_ts
conv_d579265bbcc4,user_183,anon_6d76e6e7b8,acct_228,09:25.4,56:09.4,web_chat,completed,FALSE,,,,,8,2,6,50,0,product_info,product_info,0.632,flow_49,v1.0,w2.0,661,desktop,Chrome,GB,0,,,,FALSE,FALSE,5,0.205,14:14.4
conv_117cf1dd3ccf,user_1104,anon_ce72849660,acct_1102,48:35.3,58:24.3,sms,completed,FALSE,,,,,4,1,3,50,0,billing_query,billing_query,0.478,flow_10,v2.0,w1.0,826,mobile,Chrome,IN,0,,,,FALSE,FALSE,4,0.03,54:05.3
conv_05560f5be97f,user_1249,anon_7b24b792a4,,49:36.0,09:05.0,whatsapp,completed,FALSE,,,,,8,2,6,50,1,complaint,complaint,0.605,flow_15,v2.0,w2.0,914,desktop,Chrome,GB,0,,,,FALSE,FALSE,,0.263,56:15.0
conv_b31f9460496d,user_2441,anon_cbe31df11e,,34:05.3,17:35.3,whatsapp,abandoned,TRUE,43:02.3,10,flow_node_80,USER_LEFT,7,2,5,295.5,1,greeting,greeting,0.775,flow_15,v1.0,w1.1,621,mobile,Chrome,AU,0,,,,FALSE,FALSE,5,0.097,35:50.3
conv_052760982675,user_1543,anon_d5dd23306f,acct_822,39:41.6,01:51.6,web_chat,completed,FALSE,,,,,3,4,-1,401.8,1,product_info,product_info,0.833,flow_5,v1.1,w1.0,777,mobile,Safari,ZA,0,,,,FALSE,FALSE,2,0.226,47:25.6
conv_f637c7a19d09,,anon_1386360465,,08:59.1,19:53.1,web_chat,escalated,FALSE,,,,,5,3,2,50,0,order_status,order_status,0.577,flow_35,v1.1,w1.1,666,mobile,Chrome,IN,0,33:53.1,,,FALSE,FALSE,3,0.126,13:35.1
conv_7e96a83b8382,user_2135,anon_d4a25869f2,acct_980,40:03.1,54:05.1,web_chat,completed,FALSE,,,,,6,4,2,419,0,product_info,product_info,0.928,flow_25,v2.0,w1.1,217,mobile,Edge,US,0,,,,TRUE,TRUE,,0.081,41:07.1
conv_d644c570de4c,user_2689,anon_4d7a06fe24,acct_654,17:17.5,45:51.5,bot,abandoned,TRUE,36:44.5,6,flow_node_22,CLIENT_ERROR,7,3,4,582.7,0,order_status,order_status,0.743,flow_37,v1.1,w1.1,949,mobile,Safari,SG,0,,,,TRUE,FALSE,2,0.322,17:46.5
conv_23e5aa650409,user_1155,anon_a4820d4050,acct_953,47:33.3,06:19.3,whatsapp,abandoned,TRUE,53:59.3,6,flow_node_24,LONG_BOT_LATENCY,9,4,5,321.5,0,return_request,return_request,0.842,flow_14,v1.1,w2.1,1263,desktop,Other,AU,0,,,,FALSE,FALSE,,0.315,53:44.3
conv_8891f20f1080,user_1297,anon_c7ca1127d9,,10:30.2,46:18.2,whatsapp,abandoned,TRUE,31:34.2,7,flow_node_98,FALLBACK,10,4,6,50,0,password_reset,password_reset,0.611,flow_20,v1.1,w1.0,973,desktop,Chrome,US,0,,,,FALSE,FALSE,4,0.078,18:53.2
